No.,Tag,Namecode,Tree,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
73,1220,QUINVERD,1,2ft,1ft,0,0,0,0,0,0,1fb,2fb,2fl/imft,0
74,1221,DIPLAUST,3,0,0,0,0,0,0,0,0,2imfb,"2fls,fb",3imft,1ft
75,1217,DIPLAUST,4,0,0,0,0,0,2imfb,2imfb,2imfb,2imfb,"4fls,fb",3imft,0
76,1231,ACMEINGE,5,0,0,0,0,0,1ft,1fb?,0,0,0,0,0
77,1122,SYZYCREB,4,1ft,0,0,0,0,0,0,0,1imfb?,1fb,"3fl,fb",2imft
78,2278,WILKAUST,4,0,0,0,0,0,2fb,2fb,2fb,0,0,0,0
79,2281,WILKAUST,5,0,0,0,0,0,2fb,2fb,2fb?,2fb,"1fb,fl",0,0
80,1094,ARGYTRIF,2,0,0,0,0,0,0,0,0,0,0,0,0
81,1801,LITSRETI,3,0,0,0,0,2fl,0,0,0,0,0,0,0
82,1091,DIOSPENT,,1fl,0,0,0,0,0,0,0,0,0,0,0
83,1144,HELIGLAB,2,0,"1fb,fl",2fl,"2fl,fb",2fl,2fl,1fl,"1fb,1fl",0,0,0,0
84,1138,ATRABENT,4,0,0,0,0,0,0,2fb?,"2fb,1fl",0,0,0,0
85,1133,BALOINOP,3,0,0,0,0,0,0,0,0,0,1fl,0,0
86,1164,QUINVERD,2,2ft,1ft,0,0,0,0,0,0,2imfb,2fb,2fl,0
87,1564,EMMEALPH,3,3ft,2ft,2ft,1ft,0,0,imfb?,?,1imfb?,2imfb,3imft,2imft
88,1566,ARGYACAC,6,0,0,0,0,0,0,0,0,0,0,0,0
89,1172,DYSOFRAS,2,0,0,0,0,0,0,0,0,0,0,0,0
90,1159,VITELIGN,3,2fl,2fl,"4fl,1ft",2fl,2fl,2fl,0,0,0,1ft,0,0
91,1160,QUINVERD,3,1ft,0,0,0,0,0,0,0,1imfb,1fb,1fl,0
92,1176,GUIOSEMI,1,0,0,0,0,0,0,0,0,5fb,"5fl,fb",5 ?imft,3ft
93,1180,EUPOLAUR,3,0,0,0,0,0,0,0,0,0,0,0,0
94,2393,ACROPUBE,4,1fb,2fb,2fb,2fb,2fb,"1fb,1fl",1fb,1fb,2fl,0,1imft,1ft
95,1205,BRACACER,4,0,0,0,0,0,0,0,0,0,0,0,0
96,1212,ACMEINGE,4,?,0,0,0,1ft,1ft,0,0,1ft,"5fl,1ft",5imft?,0?
97,1183,ORITEXCE,,5ft,5ft,[0?],[0],[0?],0,0,0,0,0,0,0
98,1126,ACROSUBE,,4fb/fl,0,0,0,0,0,0,0,0,0,0,0
99,1200,ACROOBLO,1,0,4imfb,2fl,0,0,0,0,0,0,0,0,0
100,,ACROOBLO,2,0,0,0,0,0,0,0,0,0,0,0,0
101,1238,DORYSASS,3,0,0,0,0,0,0,0,0,0,0,0,0
102,2436,QUINVERD,4,0,0,0,0,0,0,0,0,2imfb,1imfb,1fl,0
103,1215,EUPOLAUR,4,0,0,0,0,0,0,0,0,0,0,0,1fb/fl
104,1191,HELIGLAB,,5fl,5fl,4fl,2fl,1fl,1fl,1fl,"1fb,1fl",0,0,0,0
