No.,Tag,Namecode,Tree,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
134,1406,ARGYACAC,5,5fb,"5fl,fb",1fl,3imft,3imft?,2imft,2imft?,2imft?,2imft,2ft,0,0
135,1586,VITELIGN,4,0,0,0,0,0,0,0,0,0,1ft,1ft,0
136,1423,ANTHNITI,3,0,0,0,0,0,0,0,0,0,0,0,0
137,1414,DIOSPENT,3,0,0,0,0,0,0,0,0,0,0,0,1fl
138,1412,HALFKEND,2,2fb,"4fl,fb",?,1imft,1imft,1imft,?,?,1ft,0,0,0
139,1485.1,CUPAFLAG,,1imft,1ft,0,0,0,0,0,0,0,0,3fb,"3fb,fl"
140,1467,SARCSTIP,6,0,0,0,0,0,0,0,0,0,0,0,0
141,1462,DIOSPENT,4,0,0,0,0,0,0,0,0,0,0,0,3fl
142,1456,BALOINOP,5,1ft,0,0,0,0,0,0,0,??,0,0,0
143,1457,VITELIGN,5,0,0,0,0,0,0,0,0,0,2ft,1ft,0
144,1453,DYSOFRAS,5,0,0,0,0,0,0,2fb/fl?,??,0,0,0,0
145,1450,ORITEXCE,5,0,0,0,0,0,0,2fb,2fl,??,0,0,0
146,1513,ACROSUBE,2,"3fb,fl",1fl,2ft,2ft,0,0,0,0,0,0,0,0
147,1512,BEILELLI,1,0,0,0,0,0,0,0,0,0,0,0,0
148,1523,EMMEALPH,4,2ft,2ft,1ft,1ft,"1ft,3imfb",2fb,4fb,5fb,"5fl,fb",5imft,5imft,5ft
149,2741,ATRABENT,,2imft,2imft,2imft,2ft,0,0,2fb,2fb,"2fl,2imft",2imft,2imft,2imft (3?)
150,1524,GUIOSEMI,2,0,0,0,0,0,0,0,0,0,0,0,0
151,1528,BRACACER,5,0,0,0,0,0,0,0,0,0,0,0,0
152,1596,DIOSPENT,5,0,0,0,0,0,0,0,0,0,0,0,0
153,1598,ARGYTRIF,5,0,0,0,0,0,0,0,0,0,0,0,0
154,1599,MISCAUST,4,0,0,0,0,0,0,0,0,0,0,0,0
155,,SARCSTIP,,0,0,0,0,0,0,0,0,0,0,0,0
156,,MELIMICR,,"4fl,fb",4imft,3ft,3ft,1ft,0,0,0,0,3imfb,4fb,4fb
