No.,Tag,Namecode,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
78,1172,DYSOFRAS,0,0,0,0,0,0,0,0,0,0,0,0
79,1159,VITELIGN,2fl,3fl,3fl,1fl,0,1fl,0,0,0,0,0,1ft
80,1160,QUINVERD,2ft,2ft,0,0,0,0,0,0,3fb,2fl,1fl,imft
81,1176,GUIOSEMI,0,0,0,0,0,0,0,0,0,0,0,0
82,1180,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,0
83,2393,ACROPUBE,2imfb,3fb,3fb,3fb1fl,"2fb,1fl",2fl,2fl,0,0,1imft?,1imfb?,3fb
84,1205,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
85,1212,ACMEINGE,0,0,0,0,0,0,0,0,0,3fb,3fb,3fl
133,1183,ORITEXCE,1ft?,1ft?,0,0,0,0,0,0,0,0,0,0
86,1200,ACROOBLO,0,0,4fl,2fl,0,0,0,3ft,1ft,0,0,0
87,,ACROOBLO,0,0,0,0,0,0,0,0,0,0,0,0
88,1238,DORYSASS,0,0,0,0,0,0,0,0,0,0,0,0
89,2436,QUINVERD,1ft,1ft,0,0,0,0,0,0,4fl,2fl,1fl,imft
90,1215,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,"1fb,1ft"
91,1192,ACROPUBE,2fb,3fb,2fb1fl,3fbifl,4fl,5fl,4fl,2fl1imft,2imft,2imft,1ft,3ft
92,1224,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
93,1226,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
94,1281,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,0
95,1282,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
96,1277,ORITEXCE,,,,,,,,,,,,
131,1278,DIOSPENT,,,,,,,,,,,,
97,1279,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,0
98,1272,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,0
130,1573,ARGYTRIF,,,,,,,,,,,,
99,1248,ORITEXCE,0,0,0,0,0,0,2fl,2fl,0,0,0,0
100,1252,LITSRETI,0,0,0,0,0,0,0,0,0,0,0,0
101,1255,ORITEXCE,1ft?,1ft?,0,0,0,0,"1fb,2fl",3fl,0,0,0,0
102,1262,BALOINOP,2ft,1ft,0,0,0,0,0,0,0,0,1ft,0
103,1319,DORYSASS,0,0,0,0,0,0,0,0,0,0,0,0
104,1318,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
105,1313,ATRABENT,0,0,0,0,0,2fb,2fb,0,0,0,0,0
134,1290,ORITEXCE,2ft,1ft,1ft,0,0,0,1fl,0,0,0,0,0
106,1343,DYSOFRAS,0,0,0,0,?,2fl,0,0,0,1ft,0,2imft
107,1349,DIPLAUST,0,0,0,0,0,0,0,0,0,0,0,0
108,1352,DYSOFRAS,0,0,0,0,0,0,0,0,0,0,0,0
109,1372,SYZYCREB,2ft,2ft,0,0,0,0,0,0,0,0,0,0
110,1406,ARGYACAC,0,0,0,0,0,0,0,0,0,0,0,0
111,1586,VITELIGN,0,0,1fl,0,0,0,0,0,0,1ft,0,0
112,1423,ANTHNITI,2fl,0,0,0,0,0,0,0,0,0,0,0
113,1414,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
114,1412,HALFKEND,0,0,0,0,0,0,0,0,0,0,0,5imfb
115,1488,DORYSASS,0,0,0,0,0,0,0,0,0,0,0,0
116,1467,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,0
117,1462,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
118,1456,BALOINOP,0,0,0,0,0,0,0,0,0,0,0,0
119,1457,VITELIGN,0,0,0,0,0,2fl,0,0,0,1ft,1ft,1ft
120,1453,DYSOFRAS,0,0,0,0,"2fb,1fl",1fl,2fl,0,0,0,0,0
121,1450,ORITEXCE,0,0,0,0,0,0,"1fb,1fl",2fl,0,0,0,0
122,1512,BEILELLI,0,0,0,0,0,0,0,0,0,0,0,0
123,1523,EMMEALPH,0,0,0,0,0,0,0,0,0,0,0,0
124,1524,GUIOSEMI,0,0,0,0,0,0,0,0,0,0,0,0
125,1528,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
126,1596,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
127,1598,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
128,1599,MISCAUST,0,0,0,0,0,0,0,0,0,2imft?,0,0
