No.,Tag,Namecode,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
119,1457,VITELIGN,0,1fl,1fl,1fl,1fl,0,0,0,2ft,1ft,1ft,0
120,1453,DYSOFRAS,0,0,0,0,1imfb,3imfb,3imfb,3fb,0,0,0,1imfb
121,1450,ORITEXCE,0,0,0,0,0,0,3fb,3fl,0,0,imft??,imft??
,1513,ACROSUBE,"3fb,1fl",0,3ft,2ft,1,1,0,0,0,0,0,0
122,1512,BEILELLI,0,0,0,0,0,0,0,0,0,0,0,0
123,1523,EMMEALPH,2ft,2ft,1ft,imfbs?,"1ft,4imfb","1ft,5imfb","1ft,5imfb",5fb,4fl,4imft,3imft,3imft
124,1524,GUIOSEMI,0,0,0,0,0,0,0,0,0,0,0,0
125,1528,BRACACER,0,0,0,0,0,0,0,0,0,0,"2fb,1fl",1fl
126,1596,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
127,1598,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
128,1599,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,0
